Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,"Electronic Engineering Draftspersons and Technicians","$400-$599 ($20,800-$31,199)","20-29 years",32,
,,,"30-39 years",17,
,,,"40-49 years",17,
,,,"50-59 years",23,
,,"$600-$799 ($31,200-$41,599)","20-29 years",110,
,,,"30-39 years",75,
,,,"40-49 years",79,
,,,"50-59 years",73,
,,"$800-$999 ($41,600-$51,999)","20-29 years",150,
,,,"30-39 years",114,
,,,"40-49 years",118,
,,,"50-59 years",119,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",191,
,,,"30-39 years",193,
,,,"40-49 years",188,
,,,"50-59 years",172,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",150,
,,,"30-39 years",179,
,,,"40-49 years",203,
,,,"50-59 years",167,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",98,
,,,"30-39 years",215,
,,,"40-49 years",236,
,,,"50-59 years",235,
,,"$2,000 or more ($104,000 or more)","20-29 years",14,
,,,"30-39 years",77,
,,,"40-49 years",123,
,,,"50-59 years",102,
,"Mechanical Engineering Draftspersons and Technicians","$400-$599 ($20,800-$31,199)","20-29 years",31,
,,,"30-39 years",5,
,,,"40-49 years",3,
,,,"50-59 years",6,
,,"$600-$799 ($31,200-$41,599)","20-29 years",92,
,,,"30-39 years",40,
,,,"40-49 years",28,
,,,"50-59 years",25,
,,"$800-$999 ($41,600-$51,999)","20-29 years",142,
,,,"30-39 years",92,
,,,"40-49 years",69,
,,,"50-59 years",57,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",193,
,,,"30-39 years",200,
,,,"40-49 years",188,
,,,"50-59 years",122,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",129,
,,,"30-39 years",226,
,,,"40-49 years",183,
,,,"50-59 years",159,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",102,
,,,"30-39 years",281,
,,,"40-49 years",300,
,,,"50-59 years",214,
,,"$2,000 or more ($104,000 or more)","20-29 years",67,
,,,"30-39 years",237,
,,,"40-49 years",268,
,,,"50-59 years",205,
,"Safety Inspectors","$400-$599 ($20,800-$31,199)","20-29 years",10,
,,,"30-39 years",4,
,,,"40-49 years",10,
,,,"50-59 years",9,
,,"$600-$799 ($31,200-$41,599)","20-29 years",22,
,,,"30-39 years",21,
,,,"40-49 years",19,
,,,"50-59 years",23,
,,"$800-$999 ($41,600-$51,999)","20-29 years",36,
,,,"30-39 years",32,
,,,"40-49 years",42,
,,,"50-59 years",33,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",44,
,,,"30-39 years",73,
,,,"40-49 years",93,
,,,"50-59 years",85,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",53,
,,,"30-39 years",100,
,,,"40-49 years",155,
,,,"50-59 years",143,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",48,
,,,"30-39 years",157,
,,,"40-49 years",247,
,,,"50-59 years",270,
,,"$2,000 or more ($104,000 or more)","20-29 years",25,
,,,"30-39 years",121,
,,,"40-49 years",225,
,,,"50-59 years",263,
,"Other Building and Engineering Technicians","$400-$599 ($20,800-$31,199)","20-29 years",36,
,,,"30-39 years",20,
,,,"40-49 years",20,
,,,"50-59 years",21,
,,"$600-$799 ($31,200-$41,599)","20-29 years",223,
,,,"30-39 years",109,
,,,"40-49 years",104,
,,,"50-59 years",88,
,,"$800-$999 ($41,600-$51,999)","20-29 years",281,
,,,"30-39 years",252,
,,,"40-49 years",214,
,,,"50-59 years",204,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",338,
,,,"30-39 years",362,
,,,"40-49 years",428,
,,,"50-59 years",308,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",244,
,,,"30-39 years",460,
,,,"40-49 years",568,
,,,"50-59 years",444,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",348,
,,,"30-39 years",974,
,,,"40-49 years",1243,
,,,"50-59 years",969,
,,"$2,000 or more ($104,000 or more)","20-29 years",537,
,,,"30-39 years",2169,
,,,"40-49 years",2854,
,,,"50-59 years",1975,
,"ICT and Telecommunications Technicians nfd","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",26,
,,,"30-39 years",15,
,,,"40-49 years",10,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",36,
,,,"30-39 years",17,
,,,"40-49 years",13,
,,,"50-59 years",3,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",21,
,,,"30-39 years",27,
,,,"40-49 years",14,
,,,"50-59 years",12,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",25,
,,,"30-39 years",28,
,,,"40-49 years",20,
,,,"50-59 years",11,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",11,
,,,"30-39 years",28,
,,,"40-49 years",28,
,,,"50-59 years",15,
,,"$2,000 or more ($104,000 or more)","20-29 years",4,
,,,"30-39 years",15,
,,,"40-49 years",16,
,,,"50-59 years",12,
,"ICT Support Technicians","$400-$599 ($20,800-$31,199)","20-29 years",496,
,,,"30-39 years",181,
,,,"40-49 years",119,
,,,"50-59 years",60,
,,"$600-$799 ($31,200-$41,599)","20-29 years",2092,
,,,"30-39 years",853,
,,,"40-49 years",325,
,,,"50-59 years",204,
,,"$800-$999 ($41,600-$51,999)","20-29 years",3057,
,,,"30-39 years",1810,
,,,"40-49 years",817,
,,,"50-59 years",404,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",2869,
,,,"30-39 years",2814,
,,,"40-49 years",1467,
,,,"50-59 years",702,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1275,
,,,"30-39 years",2189,
,,,"40-49 years",1353,
,,,"50-59 years",739,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",659,
,,,"30-39 years",1993,
,,,"40-49 years",1654,
,,,"50-59 years",956,
,,"$2,000 or more ($104,000 or more)","20-29 years",159,
,,,"30-39 years",1164,
,,,"40-49 years",1223,
,,,"50-59 years",722,
,"Telecommunications Technical Specialists","$400-$599 ($20,800-$31,199)","20-29 years",26,
,,,"30-39 years",7,
,,,"40-49 years",9,
,,,"50-59 years",10,
,,"$600-$799 ($31,200-$41,599)","20-29 years",55,
,,,"30-39 years",37,
,,,"40-49 years",21,
,,,"50-59 years",27,
,,"$800-$999 ($41,600-$51,999)","20-29 years",76,
,,,"30-39 years",70,
,,,"40-49 years",57,
,,,"50-59 years",59,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",120,
,,,"30-39 years",141,
,,,"40-49 years",158,
,,,"50-59 years",135,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",80,
,,,"30-39 years",228,
,,,"40-49 years",276,
,,,"50-59 years",284,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",78,
,,,"30-39 years",238,
,,,"40-49 years",379,
,,,"50-59 years",321,
,,"$2,000 or more ($104,000 or more)","20-29 years",25,
,,,"30-39 years",160,
,,,"40-49 years",245,
,,,"50-59 years",158,
,"Automotive and Engineering Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",84,
,,,"30-39 years",28,
,,,"40-49 years",36,
,,,"50-59 years",30,
,,"$600-$799 ($31,200-$41,599)","20-29 years",149,
,,,"30-39 years",78,
,,,"40-49 years",85,
,,,"50-59 years",74,
,,"$800-$999 ($41,600-$51,999)","20-29 years",154,
,,,"30-39 years",115,
,,,"40-49 years",137,
,,,"50-59 years",100,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",152,
,,,"30-39 years",177,
,,,"40-49 years",167,
,,,"50-59 years",136,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",122,
,,,"30-39 years",131,
,,,"40-49 years",156,
,,,"50-59 years",119,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",73,
,,,"30-39 years",181,
,,,"40-49 years",166,
,,,"50-59 years",110,
,,"$2,000 or more ($104,000 or more)","20-29 years",105,
,,,"30-39 years",187,
,,,"40-49 years",159,
,,,"50-59 years",92,
,"Automotive Electricians and Mechanics nfd","$400-$599 ($20,800-$31,199)","20-29 years",4,
,,,"30-39 years",5,
,,,"40-49 years",3,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",10,
,,,"30-39 years",3,
,,,"40-49 years",14,
,,,"50-59 years",4,
,,"$800-$999 ($41,600-$51,999)","20-29 years",3,
,,,"30-39 years",13,
,,,"40-49 years",14,
,,,"50-59 years",10,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",12,
,,,"30-39 years",17,
,,,"40-49 years",13,
,,,"50-59 years",8,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",5,
,,,"30-39 years",11,
,,,"40-49 years",17,
,,,"50-59 years",3,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",14,
,,,"40-49 years",12,
,,,"50-59 years",6,
,,"$2,000 or more ($104,000 or more)","20-29 years",3,
,,,"30-39 years",4,
,,,"40-49 years",3,
,,,"50-59 years",0,
,"Automotive Electricians","$400-$599 ($20,800-$31,199)","20-29 years",261,
,,,"30-39 years",65,
,,,"40-49 years",76,
,,,"50-59 years",98,
,,"$600-$799 ($31,200-$41,599)","20-29 years",382,
,,,"30-39 years",193,
,,,"40-49 years",175,
,,,"50-59 years",129,
,,"$800-$999 ($41,600-$51,999)","20-29 years",288,
,,,"30-39 years",254,
,,,"40-49 years",187,
,,,"50-59 years",133,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",250,
,,,"30-39 years",255,
,,,"40-49 years",225,
,,,"50-59 years",134,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",113,
,,,"30-39 years",154,
,,,"40-49 years",150,
,,,"50-59 years",90,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",182,
,,,"30-39 years",179,
,,,"40-49 years",142,
,,,"50-59 years",75,
,,"$2,000 or more ($104,000 or more)","20-29 years",214,
,,,"30-39 years",207,
,,,"40-49 years",129,
,,,"50-59 years",67,
,"Motor Mechanics","$400-$599 ($20,800-$31,199)","20-29 years",3559,
,,,"30-39 years",934,
,,,"40-49 years",1067,
,,,"50-59 years",1043,
,,"$600-$799 ($31,200-$41,599)","20-29 years",5507,
,,,"30-39 years",2785,
,,,"40-49 years",2656,
,,,"50-59 years",2233,
,,"$800-$999 ($41,600-$51,999)","20-29 years",4344,
,,,"30-39 years",3580,
,,,"40-49 years",3317,
,,,"50-59 years",2525,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",2730,
,,,"30-39 years",3226,
,,,"40-49 years",3075,
,,,"50-59 years",2190,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1017,
,,,"30-39 years",1600,
,,,"40-49 years",1662,
,,,"50-59 years",1126,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",644,
,,,"30-39 years",1021,
,,,"40-49 years",1159,
,,,"50-59 years",726,
,,"$2,000 or more ($104,000 or more)","20-29 years",350,
,,,"30-39 years",478,
,,,"40-49 years",470,
,,,"50-59 years",308,
,"Fabrication Engineering Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",5,
,,,"30-39 years",0,
,,,"40-49 years",3,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",14,
,,,"30-39 years",14,
,,,"40-49 years",11,
,,,"50-59 years",5,
,,"$800-$999 ($41,600-$51,999)","20-29 years",9,
,,,"30-39 years",12,
,,,"40-49 years",13,
,,,"50-59 years",7,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",15,
,,,"30-39 years",15,
,,,"40-49 years",13,
,,,"50-59 years",8,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",3,
,,,"30-39 years",6,
,,,"40-49 years",8,
,,,"50-59 years",4,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",5,
,,,"30-39 years",6,
,,,"40-49 years",8,
,,,"50-59 years",4,
,,"$2,000 or more ($104,000 or more)","20-29 years",4,
,,,"30-39 years",4,
,,,"40-49 years",11,
,,,"50-59 years",3,
,"Metal Casting, Forging and Finishing Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",67,
,,,"30-39 years",38,
,,,"40-49 years",54,
,,,"50-59 years",46,
,,"$600-$799 ($31,200-$41,599)","20-29 years",82,
,,,"30-39 years",113,
,,,"40-49 years",122,
,,,"50-59 years",88,
,,"$800-$999 ($41,600-$51,999)","20-29 years",61,
,,,"30-39 years",99,
,,,"40-49 years",115,
,,,"50-59 years",89,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",36,
,,,"30-39 years",69,
,,,"40-49 years",89,
,,,"50-59 years",82,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",23,
,,,"30-39 years",40,
,,,"40-49 years",53,
,,,"50-59 years",34,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",17,
,,,"30-39 years",29,
,,,"40-49 years",35,
,,,"50-59 years",14,
,,"$2,000 or more ($104,000 or more)","20-29 years",6,
,,,"30-39 years",6,
,,,"40-49 years",8,
,,,"50-59 years",6,
,"Sheetmetal Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",182,
,,,"30-39 years",38,
,,,"40-49 years",39,
,,,"50-59 years",29,
,,"$600-$799 ($31,200-$41,599)","20-29 years",382,
,,,"30-39 years",204,
,,,"40-49 years",203,
,,,"50-59 years",157,
,,"$800-$999 ($41,600-$51,999)","20-29 years",335,
,,,"30-39 years",305,
,,,"40-49 years",288,
,,,"50-59 years",220,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",262,
,,,"30-39 years",292,
,,,"40-49 years",317,
,,,"50-59 years",194,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",99,
,,,"30-39 years",173,
,,,"40-49 years",185,
,,,"50-59 years",103,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",58,
,,,"30-39 years",118,
,,,"40-49 years",137,
,,,"50-59 years",91,
,,"$2,000 or more ($104,000 or more)","20-29 years",33,
,,,"30-39 years",50,
,,,"40-49 years",52,
,,,"50-59 years",39,
,"Structural Steel and Welding Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",1442,
,,,"30-39 years",370,
,,,"40-49 years",443,
,,,"50-59 years",354,
,,"$600-$799 ($31,200-$41,599)","20-29 years",2835,
,,,"30-39 years",1731,
,,,"40-49 years",1664,
,,,"50-59 years",1188,
,,"$800-$999 ($41,600-$51,999)","20-29 years",2969,
,,,"30-39 years",2652,
,,,"40-49 years",2603,
,,,"50-59 years",1784,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",2510,
,,,"30-39 years",2883,
,,,"40-49 years",2742,
,,,"50-59 years",1927,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1564,
,,,"30-39 years",1907,
,,,"40-49 years",1877,
,,,"50-59 years",1121,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",1485,
,,,"30-39 years",2043,
,,,"40-49 years",1807,
,,,"50-59 years",1080,
,,"$2,000 or more ($104,000 or more)","20-29 years",1313,
,,,"30-39 years",1533,
,,,"40-49 years",1278,
,,,"50-59 years",801,
,"Mechanical Engineering Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",14,
,,,"30-39 years",3,
,,,"40-49 years",4,
,,,"50-59 years",7,
,,"$800-$999 ($41,600-$51,999)","20-29 years",8,
,,,"30-39 years",7,
,,,"40-49 years",13,
,,,"50-59 years",4,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",4,
,,,"30-39 years",18,
,,,"40-49 years",13,
,,,"50-59 years",23,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",8,
,,,"30-39 years",12,
,,,"40-49 years",11,
,,,"50-59 years",6,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",9,
,,,"30-39 years",11,
,,,"40-49 years",22,
,,,"50-59 years",9,
,,"$2,000 or more ($104,000 or more)","20-29 years",3,
,,,"30-39 years",9,
,,,"40-49 years",4,
,,,"50-59 years",6,
,"Aircraft Maintenance Engineers","$400-$599 ($20,800-$31,199)","20-29 years",153,
,,,"30-39 years",14,
,,,"40-49 years",16,
,,,"50-59 years",15,
,,"$600-$799 ($31,200-$41,599)","20-29 years",399,
,,,"30-39 years",92,
,,,"40-49 years",47,
,,,"50-59 years",47,
,,"$800-$999 ($41,600-$51,999)","20-29 years",505,
,,,"30-39 years",191,
,,,"40-49 years",178,
,,,"50-59 years",122,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1057,
,,,"30-39 years",497,
,,,"40-49 years",387,
,,,"50-59 years",329,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",793,
,,,"30-39 years",777,
,,,"40-49 years",584,
,,,"50-59 years",368,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",365,
,,,"30-39 years",954,
,,,"40-49 years",944,
,,,"50-59 years",588,
,,"$2,000 or more ($104,000 or more)","20-29 years",131,
,,,"30-39 years",626,
,,,"40-49 years",867,
,,,"50-59 years",678,
,"Metal Fitters and Machinists","$400-$599 ($20,800-$31,199)","20-29 years",1115,
,,,"30-39 years",208,
,,,"40-49 years",256,
,,,"50-59 years",261,
,,"$600-$799 ($31,200-$41,599)","20-29 years",2126,
,,,"30-39 years",899,
,,,"40-49 years",977,
,,,"50-59 years",970,
,,"$800-$999 ($41,600-$51,999)","20-29 years",2533,
,,,"30-39 years",2001,
,,,"40-49 years",2128,
,,,"50-59 years",1910,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",2896,
,,,"30-39 years",2966,
,,,"40-49 years",3532,
,,,"50-59 years",3108,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",2272,
,,,"30-39 years",2592,
,,,"40-49 years",2882,
,,,"50-59 years",2369,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",3044,
,,,"30-39 years",3748,
,,,"40-49 years",3928,
,,,"50-59 years",2713,
,,"$2,000 or more ($104,000 or more)","20-29 years",3798,
,,,"30-39 years",4620,
,,,"40-49 years",3638,
,,,"50-59 years",2242,
,"Precision Metal Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",225,
,,,"30-39 years",63,
,,,"40-49 years",78,
,,,"50-59 years",69,
,,"$600-$799 ($31,200-$41,599)","20-29 years",295,
,,,"30-39 years",200,
,,,"40-49 years",182,
,,,"50-59 years",188,
,,"$800-$999 ($41,600-$51,999)","20-29 years",241,
,,,"30-39 years",265,
,,,"40-49 years",262,
,,,"50-59 years",245,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",171,
,,,"30-39 years",241,
,,,"40-49 years",240,
,,,"50-59 years",242,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",48,
,,,"30-39 years",162,
,,,"40-49 years",159,
,,,"50-59 years",119,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",31,
,,,"30-39 years",118,
,,,"40-49 years",142,
,,,"50-59 years",117,
,,"$2,000 or more ($104,000 or more)","20-29 years",21,
,,,"30-39 years",45,
,,,"40-49 years",59,
,,,"50-59 years",57,
,"Toolmakers and Engineering Patternmakers","$400-$599 ($20,800-$31,199)","20-29 years",62,
,,,"30-39 years",28,
,,,"40-49 years",45,
,,,"50-59 years",34,
,,"$600-$799 ($31,200-$41,599)","20-29 years",134,
,,,"30-39 years",145,
,,,"40-49 years",145,
,,,"50-59 years",165,
,,"$800-$999 ($41,600-$51,999)","20-29 years",126,
,,,"30-39 years",223,
,,,"40-49 years",269,
,,,"50-59 years",282,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",109,
,,,"30-39 years",269,
,,,"40-49 years",321,
,,,"50-59 years",333,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",39,
,,,"30-39 years",155,
,,,"40-49 years",219,
,,,"50-59 years",183,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",21,
,,,"30-39 years",81,
,,,"40-49 years",148,
,,,"50-59 years",106,
,,"$2,000 or more ($104,000 or more)","20-29 years",7,
,,,"30-39 years",13,
,,,"40-49 years",24,
,,,"50-59 years",25,
,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters nfd","$400-$599 ($20,800-$31,199)","20-29 years",16,
,,,"30-39 years",15,
,,,"40-49 years",38,
,,,"50-59 years",21,
,,"$600-$799 ($31,200-$41,599)","20-29 years",32,
,,,"30-39 years",39,
,,,"40-49 years",49,
,,,"50-59 years",60,
,,"$800-$999 ($41,600-$51,999)","20-29 years",12,
,,,"30-39 years",42,
,,,"40-49 years",48,
,,,"50-59 years",43,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",12,
,,,"30-39 years",39,
,,,"40-49 years",56,
,,,"50-59 years",47,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",9,
,,,"30-39 years",36,
,,,"40-49 years",33,
,,,"50-59 years",32,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",5,
,,,"30-39 years",29,
,,,"40-49 years",37,
,,,"50-59 years",19,
,,"$2,000 or more ($104,000 or more)","20-29 years",4,
,,,"30-39 years",15,
,,,"40-49 years",20,
,,,"50-59 years",22,
,"Panelbeaters","$400-$599 ($20,800-$31,199)","20-29 years",427,
,,,"30-39 years",139,
,,,"40-49 years",164,
,,,"50-59 years",148,
,,"$600-$799 ($31,200-$41,599)","20-29 years",630,
,,,"30-39 years",386,
,,,"40-49 years",390,
,,,"50-59 years",355,
,,"$800-$999 ($41,600-$51,999)","20-29 years",507,
,,,"30-39 years",529,
,,,"40-49 years",546,
,,,"50-59 years",418,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",330,
,,,"30-39 years",524,
,,,"40-49 years",559,
,,,"50-59 years",387,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",108,
,,,"30-39 years",285,
,,,"40-49 years",296,
,,,"50-59 years",163,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",61,
,,,"30-39 years",182,
,,,"40-49 years",211,
,,,"50-59 years",107,
,,"$2,000 or more ($104,000 or more)","20-29 years",23,
,,,"30-39 years",72,
,,,"40-49 years",85,
,,,"50-59 years",47,
,"Vehicle Body Builders and Trimmers","$400-$599 ($20,800-$31,199)","20-29 years",133,
,,,"30-39 years",54,
,,,"40-49 years",84,
,,,"50-59 years",65,
,,"$600-$799 ($31,200-$41,599)","20-29 years",366,
,,,"30-39 years",233,
,,,"40-49 years",252,
,,,"50-59 years",198,
,,"$800-$999 ($41,600-$51,999)","20-29 years",251,
,,,"30-39 years",255,
,,,"40-49 years",271,
,,,"50-59 years",196,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",142,
,,,"30-39 years",199,
,,,"40-49 years",224,
,,,"50-59 years",163,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",63,
,,,"30-39 years",102,
,,,"40-49 years",113,
,,,"50-59 years",84,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",33,
,,,"30-39 years",66,
,,,"40-49 years",63,
,,,"50-59 years",54,
,,"$2,000 or more ($104,000 or more)","20-29 years",11,
,,,"30-39 years",21,
,,,"40-49 years",24,
,,,"50-59 years",15,
,"Vehicle Painters","$400-$599 ($20,800-$31,199)","20-29 years",461,
,,,"30-39 years",108,
,,,"40-49 years",113,
,,,"50-59 years",81,
,,"$600-$799 ($31,200-$41,599)","20-29 years",695,
,,,"30-39 years",339,
,,,"40-49 years",288,
,,,"50-59 years",201,
,,"$800-$999 ($41,600-$51,999)","20-29 years",604,
,,,"30-39 years",534,
,,,"40-49 years",445,
,,,"50-59 years",249,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",376,
,,,"30-39 years",476,
,,,"40-49 years",408,
,,,"50-59 years",237,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",150,
,,,"30-39 years",242,
,,,"40-49 years",216,
,,,"50-59 years",111,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",63,
,,,"30-39 years",140,
,,,"40-49 years",135,
,,,"50-59 years",44,
,,"$2,000 or more ($104,000 or more)","20-29 years",15,
,,,"30-39 years",63,
,,,"40-49 years",51,
,,,"50-59 years",23,
,"Construction Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",90,
,,,"30-39 years",16,
,,,"40-49 years",32,
,,,"50-59 years",27,
,,"$600-$799 ($31,200-$41,599)","20-29 years",96,
,,,"30-39 years",48,
,,,"40-49 years",52,
,,,"50-59 years",33,
,,"$800-$999 ($41,600-$51,999)","20-29 years",74,
,,,"30-39 years",44,
,,,"40-49 years",50,
,,,"50-59 years",57,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",56,
,,,"30-39 years",78,
,,,"40-49 years",83,
,,,"50-59 years",65,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",22,
,,,"30-39 years",65,
,,,"40-49 years",49,
,,,"50-59 years",38,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",30,
,,,"30-39 years",55,
,,,"40-49 years",62,
,,,"50-59 years",34,
,,"$2,000 or more ($104,000 or more)","20-29 years",8,
,,,"30-39 years",34,
,,,"40-49 years",26,
,,,"50-59 years",26,
,"Bricklayers, and Carpenters and Joiners nfd","$400-$599 ($20,800-$31,199)","20-29 years",248,
,,,"30-39 years",18,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",120,
,,,"30-39 years",22,
